                                             Query       QTime        numFound    minQTime    maxQTime  #invocations    return consistent
            joincitations(id:[1000000 TO 1200000])       12064          572723       12063       12065           2        True
            joincitations(id:[1000000 TO 1210000])       12730          587859       12717       12744           2        True
            joincitations(id:[1000000 TO 1220000])       13370          598007       13280       13460           2        True
            joincitations(id:[1000000 TO 1230000])       13909          615406       13829       13990           2        True
            joincitations(id:[1000000 TO 1240000])       14473          634888       14437       14510           2        True
            joincitations(id:[1000000 TO 1250000])       15244          655822       15227       15261           2        True
            joincitations(id:[1000000 TO 1260000])       15707          672381       15596       15819           2        True
            joincitations(id:[1000000 TO 1270000])       16194          689592       16176       16212           2        True
            joincitations(id:[1000000 TO 1280000])       16752          701068       16671       16834           2        True
            joincitations(id:[1000000 TO 1290000])       17288          711518       17252       17324           2        True
            joincitations(id:[1000000 TO 1300000])       17903          726674       17879       17927           2        True
            joincitations(id:[1000000 TO 1310000])       18473          738836       18406       18541           2        True
            joincitations(id:[1000000 TO 1320000])       18987          754548       18929       19045           2        True
            joincitations(id:[1000000 TO 1330000])       19920          772476       19917       19924           2        True
            joincitations(id:[1000000 TO 1340000])       20393          789926       20274       20512           2        True
            joincitations(id:[1000000 TO 1350000])       20836          801917       20820       20852           2        True
            joincitations(id:[1000000 TO 1360000])       21399          814385       21376       21422           2        True
            joincitations(id:[1000000 TO 1370000])       22163          825420       22020       22307           2        True
            joincitations(id:[1000000 TO 1380000])       22696          835388       22522       22871           2        True
            joincitations(id:[1000000 TO 1390000])       23363          848131       23340       23386           2        True
            joincitations(id:[1000000 TO 1400000])       23821          866155       23729       23913           2        True
            joincitations(id:[1000000 TO 1410000])       24262          878341       24166       24359           2        True
            joincitations(id:[1000000 TO 1420000])       25218          889613       25176       25261           2        True
            joincitations(id:[1000000 TO 1430000])       25721          898838       25512       25931           2        True
            joincitations(id:[1000000 TO 1440000])       26106          912184       26040       26173           2        True
            joincitations(id:[1000000 TO 1450000])       27125          919032       27053       27197           2        True
            joincitations(id:[1000000 TO 1460000])       27453          934536       27269       27638           2        True
            joincitations(id:[1000000 TO 1470000])       28350          941103       28191       28509           2        True
            joincitations(id:[1000000 TO 1480000])       28494          952308       28400       28589           2        True
            joincitations(id:[1000000 TO 1490000])       29159          964439       29140       29179           2        True
            joincitations(id:[1000000 TO 1500000])       30017          975052       29856       30179           2        True
            joincitations(id:[1000000 TO 1510000])       30299          986089       30272       30327           2        True
            joincitations(id:[1000000 TO 1520000])       31366         1000683       31237       31496           2        True
