                                             Query       QTime	numFound	  minQTime	  maxQTime	#invocations	return consistent
            citations(bibcode:1963PhRv..131.2766G)	7	2067	7	8	2	      True
            citations(bibcode:1932RSPSA.137..696Z)	7	1329	7	7	2	      True
            citations(bibcode:1998PhRvA..57..120L)	7	2076	7	7	2	      True
            citations(bibcode:2006AJ....131.1163S)	7	2053	7	8	2	      True
            citations(bibcode:1950PhRv...78..182R)	7		5	7	7	2	      True
            citations(bibcode:1979NuPhB.159..213V)	7	390	7	7	2	      True
            citations(bibcode:2003JChPh.118.8207H)	7	194	7	7	2	      True
            citations(bibcode:1972Natur.238...37F)	7	523	7	7	2	      True
            citations(bibcode:1950PhRv...79..615R)	7	201	7	8	2	      True
            citations(bibcode:1999JChPh.110.6158A)	7	315	7	8	2	      True
            citations(bibcode:1996PhRvA..54.3824B)	7	1491	7	8	2	      True
            citations(bibcode:1931MNRAS..91..870P)	7	 10	7	8	2	      True
            citations(bibcode:2008RvMP...80..885B)	7	391	7	7	2	      True
            citations(bibcode:1997PhT....50g..36H)	7	787	7	7	2	      True
            citations(bibcode:1959ApJ...130...26B)	7	120	7	7	2	      True
            citations(bibcode:2003PhRvD..68d6005K)	7	1080	7	7	2	      True
            citations(bibcode:1961PhRv..122..345N)	7	1851	7	7	2	      True
            citations(bibcode:1995JCoPh.117....1P)	7	298	7	7	2	      True
            citations(bibcode:1998AJ....115.2285M)	7	1688	7	8	2	      True
            citations(bibcode:1991PhRvL..67..661E)	7	1848	7	8	2	      True
            citations(bibcode:1957JPSJ...12..570K)	7	2320	7	8	2	      True
            citations(bibcode:1968PhRv..170..379T)	7	292	7	8	2	      True
            citations(bibcode:1996PhRvL..77.1413P)	7	1263	7	7	2	      True
            citations(bibcode:2007PhRvB..75l1306M)	7	102	7	7	2	      True
            citations(bibcode:1972PhRvB...6.4370J)	7	1591	7	8	2	      True
            citations(bibcode:1990ApPhL..57.1046C)	7	2421	7	8	2	      True
            citations(bibcode:1988cels.book.....H)	7	113	7	8	2	      True
            citations(bibcode:1927RSPSA.115..700K)	8	 54	8	8	2	      True
            citations(bibcode:2006IJMPD..15.1753C)	8	946	8	8	2	      True
            citations(bibcode:2004PhRvD..69j3501T)	8	1445	8	8	2	      True
            citations(bibcode:2002JHEP...04..013B)	8	393	7	9	2	      True
            citations(bibcode:2006PhRvL..97r7401F)	8	299	7	9	2	      True
            citations(bibcode:1986PhRvB..33.8822P)	8	1738	8	8	2	      True
            citations(bibcode:2000NuPhB.586..141G)	8	424	8	8	2	      True
            citations(bibcode:1987PhRvL..59..381B)	8	2233	8	8	2	      True
            citations(bibcode:1992RvMP...64.1045P)	8	2150	8	8	2	      True
            citations(bibcode:1956PhRv..102.1464M)	8	227	8	8	2	      True
            citations(bibcode:1991ApJ...376..214B)	8	1770	8	8	2	      True
            citations(bibcode:1985NuPhB.250..465G)	8	1798	8	8	2	      True
            citations(bibcode:2003NuPhA.729..337A)	8	813	7	9	2	      True
            citations(bibcode:1947PhRv...71..622W)	8	653	7	        10	2	      True
            citations(bibcode:2000Sci...290.2282M)	8	627	8	8	2	      True
            citations(bibcode:1944PNAS...30..244M)	8	1279	8	8	2	      True
            citations(bibcode:1988aitb.book.....S)	8	416	7	        10	2	      True
            citations(bibcode:1961hhs..book.....C)	8	2358	8	8	2	      True
            citations(bibcode:1950msms.book.....H)	8	2314	8	8	2	      True
            citations(bibcode:1997PhRvL..78.1396P)	8	533	8	8	2	      True
            citations(bibcode:1996JPSJ...65.1920F)	8	399	8	8	2	      True
            citations(bibcode:1982PhLB..108..389L)	8	2105	8	8	2	      True
            citations(bibcode:1995CASSS...5.....H)	8		0	7	9	2	      True
            citations(bibcode:2000ApJ...539L..13G)	8	1665	8	8	2	      True
            citations(bibcode:1966PhRvL..17.1133M)	8	1983	8	8	2	      True
            citations(bibcode:2005Sci...309.2180P)	8	639	8	8	2	      True
            citations(bibcode:1998PhLB..436..257A)	8	2244	8	9	2	      True
            citations(bibcode:1986PhRvL..56..930B)	8	1858	8	8	2	      True
            citations(bibcode:2001PhRvL..86.5227B)	8	216	8	8	2	      True
            citations(bibcode:1996RvMP...68...13G)	8	1873	8	8	2	      True
            citations(bibcode:1980IJQE...16..347L)	8	415	8	8	2	      True
            citations(bibcode:1998RvMP...70.1039I)	8	1577	7	        10	2	      True
            citations(bibcode:1989RvMP...61....1W)	8	1852	7	9	2	      True
            citations(bibcode:1999PhR...323..183A)	8	973	8	8	2	      True
            citations(bibcode:2008PhRvL.101h7004K)	8	242	7	        10	2	      True
            citations(bibcode:1968PUSNO..21....1B)	8	 84	8	8	2	      True
            citations(bibcode:2001Sci...293.1289C)	8	553	8	8	2	      True
            citations(bibcode:2001ApJ...553...47F)	8	1868	8	8	2	      True
            citations(bibcode:2007NatMa...6..183G)	8	1052	7	        10	2	      True
            citations(bibcode:1969PhRvL..23..880C)	8	1183	8	8	2	      True
            citations(bibcode:1951PhRv...82..664S)	8	2146	8	8	2	      True
            citations(bibcode:2005Natur.437..681O)	8	149	8	8	2	      True
            citations(bibcode:2005RvMP...77..513B)	8	410	8	8	2	      True
            citations(bibcode:1993ARA&A..31..473A)	8	1817	8	8	2	      True
            citations(bibcode:1994JCoPh.114..185B)	9	976	8	        10	2	      True
            citations(bibcode:2004Natur.431..162W)	9	546	8	        10	2	      True
            citations(bibcode:1992JChPh..96.6796K)	9	1973	8	        11	2	      True
